Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: Cout=100a, transition=20p",,,,,,
1,Lab2_Timing_1,/A,,,,
1,Lab2_Timing_1,/B,,,,
1,Lab2_Timing_1,/Y,,,,
1,Lab2_Timing_1,AfallTime,0,,,
1,Lab2_Timing_1,AriseTime,0,,,
1,Lab2_Timing_1,AY_cellFall,17.25e-12,,,
1,Lab2_Timing_1,AY_cellRise,8.307e-12,,,
1,Lab2_Timing_1,AY_fallTransistion,22.1e-12,,,
1,Lab2_Timing_1,AY_riseTransistion,10.68e-12,,,
1,Lab2_Timing_1,BfallTime,0,,,
1,Lab2_Timing_1,BriseTime,0,,,
1,Lab2_Timing_1,BY_cellFall,20.2e-12,,,
1,Lab2_Timing_1,BY_cellRise,9.37e-12,,,
1,Lab2_Timing_1,BY_fallTransistion,22.1e-12,,,
1,Lab2_Timing_1,BY_riseTransistion,10.68e-12,,,
"Parameters: Cout=100a, transition=40p",,,,,,
2,Lab2_Timing_1,/A,,,,
2,Lab2_Timing_1,/B,,,,
2,Lab2_Timing_1,/Y,,,,
2,Lab2_Timing_1,AfallTime,0,,,
2,Lab2_Timing_1,AriseTime,0,,,
2,Lab2_Timing_1,AY_cellFall,17.54e-12,,,
2,Lab2_Timing_1,AY_cellRise,8.892e-12,,,
2,Lab2_Timing_1,AY_fallTransistion,22.15e-12,,,
2,Lab2_Timing_1,AY_riseTransistion,10.74e-12,,,
2,Lab2_Timing_1,BfallTime,0,,,
2,Lab2_Timing_1,BriseTime,0,,,
2,Lab2_Timing_1,BY_cellFall,20.62e-12,,,
2,Lab2_Timing_1,BY_cellRise,9.956e-12,,,
2,Lab2_Timing_1,BY_fallTransistion,22.15e-12,,,
2,Lab2_Timing_1,BY_riseTransistion,10.74e-12,,,
"Parameters: Cout=100a, transition=60p",,,,,,
3,Lab2_Timing_1,/A,,,,
3,Lab2_Timing_1,/B,,,,
3,Lab2_Timing_1,/Y,,,,
3,Lab2_Timing_1,AfallTime,0,,,
3,Lab2_Timing_1,AriseTime,0,,,
3,Lab2_Timing_1,AY_cellFall,18.26e-12,,,
3,Lab2_Timing_1,AY_cellRise,9.845e-12,,,
3,Lab2_Timing_1,AY_fallTransistion,22.05e-12,,,
3,Lab2_Timing_1,AY_riseTransistion,11.16e-12,,,
3,Lab2_Timing_1,BfallTime,0,,,
3,Lab2_Timing_1,BriseTime,0,,,
3,Lab2_Timing_1,BY_cellFall,21.36e-12,,,
3,Lab2_Timing_1,BY_cellRise,10.98e-12,,,
3,Lab2_Timing_1,BY_fallTransistion,22.05e-12,,,
3,Lab2_Timing_1,BY_riseTransistion,11.16e-12,,,
"Parameters: Cout=100a, transition=80p",,,,,,
4,Lab2_Timing_1,/A,,,,
4,Lab2_Timing_1,/B,,,,
4,Lab2_Timing_1,/Y,,,,
4,Lab2_Timing_1,AfallTime,0,,,
4,Lab2_Timing_1,AriseTime,0,,,
4,Lab2_Timing_1,AY_cellFall,18.95e-12,,,
4,Lab2_Timing_1,AY_cellRise,10.71e-12,,,
4,Lab2_Timing_1,AY_fallTransistion,22.37e-12,,,
4,Lab2_Timing_1,AY_riseTransistion,11.46e-12,,,
4,Lab2_Timing_1,BfallTime,0,,,
4,Lab2_Timing_1,BriseTime,0,,,
4,Lab2_Timing_1,BY_cellFall,22.06e-12,,,
4,Lab2_Timing_1,BY_cellRise,11.94e-12,,,
4,Lab2_Timing_1,BY_fallTransistion,22.37e-12,,,
4,Lab2_Timing_1,BY_riseTransistion,11.46e-12,,,
"Parameters: Cout=100a, transition=100p",,,,,,
5,Lab2_Timing_1,/A,,,,
5,Lab2_Timing_1,/B,,,,
5,Lab2_Timing_1,/Y,,,,
5,Lab2_Timing_1,AfallTime,0,,,
5,Lab2_Timing_1,AriseTime,0,,,
5,Lab2_Timing_1,AY_cellFall,19.53e-12,,,
5,Lab2_Timing_1,AY_cellRise,11.52e-12,,,
5,Lab2_Timing_1,AY_fallTransistion,22.55e-12,,,
5,Lab2_Timing_1,AY_riseTransistion,11.88e-12,,,
5,Lab2_Timing_1,BfallTime,0,,,
5,Lab2_Timing_1,BriseTime,0,,,
5,Lab2_Timing_1,BY_cellFall,22.73e-12,,,
5,Lab2_Timing_1,BY_cellRise,12.83e-12,,,
5,Lab2_Timing_1,BY_fallTransistion,22.55e-12,,,
5,Lab2_Timing_1,BY_riseTransistion,11.88e-12,,,
"Parameters: Cout=100a, transition=120p",,,,,,
6,Lab2_Timing_1,/A,,,,
6,Lab2_Timing_1,/B,,,,
6,Lab2_Timing_1,/Y,,,,
6,Lab2_Timing_1,AfallTime,0,,,
6,Lab2_Timing_1,AriseTime,0,,,
6,Lab2_Timing_1,AY_cellFall,20.27e-12,,,
6,Lab2_Timing_1,AY_cellRise,12.36e-12,,,
6,Lab2_Timing_1,AY_fallTransistion,22.75e-12,,,
6,Lab2_Timing_1,AY_riseTransistion,12.21e-12,,,
6,Lab2_Timing_1,BfallTime,0,,,
6,Lab2_Timing_1,BriseTime,0,,,
